?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/ZFA_0005801>	"The interrenal vessel (IRV) is the blood vessels supplying the interrenal gland. It is formed by sprouting from the dorsal aorta.  The development of the IRV is temporally and spatially correlated with the initiation interrenal gland formation.  After traversing the interrenal tissue, the IRV connects  to the posterior end segment of the anterior mesenteric artery where two branches of swim bladder arteries branched out.  Angiogenic sprout is visible between 34 and 48 hpf with blood flow by 3dpf."	
<http://purl.obolibrary.org/obo/ZFA_0007026>	"Anterior portion of anterior neural keel that gives rise to the forebrain neural rod."	"TAO:0007026"
<http://purl.obolibrary.org/obo/ZFA_0001298>	"Epibranchial placode that gives rise to vagal ganglion 2."	"TAO:0001298"
<http://purl.obolibrary.org/obo/ZFA_0001568>	"Oocyte part of stage IV ovarian follicle. Stage IV oocytes are large and filled with noncrystalline yolky bodies."	"TAO:0001568"
<http://purl.obolibrary.org/obo/ZFA_0009086>		"TAO:0009086 CL:0000140"
<http://purl.obolibrary.org/obo/ZFA_0005115>	"Primordium that forms the first neuromasts of the posterior lateral line.  This primordium travels at 1.5-1.7 somites/hour and deposits  neuromast that are polarized along the antero-posterior axis."	"TAO:0005115"
<http://purl.obolibrary.org/obo/ZFA_0005815>	"TARGET DEFINITION: Hindbrain interneurons that are part of the reticular formation.  The T interneurons receive synaptic input from the  Mauthner neuron,  from unidentified axons in the mlf, and perhaps from trigeminal sensory fibers.  .  The axon is T-shaped the proximal segment courses to the midline of the  brain and near the midline bifurcates to form an ascending rostral segment and a descending caudal segment.  The rostral and caudal segments join the dorsal component of the MLF.  The T interneurons are located caudal to CaD and appear to be bilaterally paired. They project to cranial and pectoral motor nuclei."	"TAO:0005182"
<http://purl.obolibrary.org/obo/ZFA_0000066>	"An inward fold on the surface of the embryonic ectoderm that develops into part of the anal passage."	"TAO:0000066"
<http://purl.obolibrary.org/obo/ZFA_0001157>	"A migrating group of cells originating from the posterior lateral line placode.  The primordium deposits seven to nine neuromasts and interneuromasts between them during its posterior migration to the tail."	"TAO:0001157"
<http://purl.obolibrary.org/obo/ZFA_0000188>	"Brain structure which is one of three parts of the cerebellum and is the entry point for a posterior cerebellar tract that carries cerebellar afferents from many brain stem nuclei. From Neuroanatomy of the Zebrafish Brain."	"TAO:0000188"
<http://purl.obolibrary.org/obo/ZFA_0005490>	"Portion of tissue that will develop into the myocardium."	
<http://purl.obolibrary.org/obo/ZFA_0000237>		"TAO:0000237"
<http://purl.obolibrary.org/obo/ZFA_0000104>		
<http://purl.obolibrary.org/obo/ZFA_0001245>	"Epibranchial bone that is bilaterally paired and articulates laterally with ceratobranchial 4 cartilage or bone. The narrow end of epibranchial 4 is slightly flared, and it articulates with cartilaginous pharyngobranchial 4."	"TAO:0001245"
<http://purl.obolibrary.org/obo/ZFA_0009183>	"A cell found in the outermost layer of the organism."	"TAO:0009183 CL:0000362"
<http://purl.obolibrary.org/obo/ZFA_0001121>	"Presumptive structure fated to become the shield.  Defined by fate mapping."	"TAO:0001121"
<http://purl.obolibrary.org/obo/ZFA_0001657>	"CNS tract/commissure which extends between the telencephalon and diencephalon and lies along the dorsal edge of the optic stalk."	"TAO:0002244"
<http://purl.obolibrary.org/obo/ZFA_0005468>	"Joint that articulates the frontal and pterotic. Frontal-pterotic joint is paired."	"TAO:0001711"
<http://purl.obolibrary.org/obo/ZFA_0000012>	"The brain and spinal cord."	"TAO:0000012"
<http://purl.obolibrary.org/obo/ZFA_0001301>		"TAO:0001301"
<http://purl.obolibrary.org/obo/ZFA_0000195>	"Dorsal fin muscle that moves individual rays the dorsal fin into a lowered position. The dorsal depressors extend from either the right or left base of a dorsal fin ray to the posterior edge of a proximal pterygophore in the median septum. Antagonistic to dorsal erector muscle. There is one dorsal depressor for each dorsal fin lepidotrichium."	"TAO:0000195"
<http://purl.obolibrary.org/obo/ZFA_0005862>	"Lymph vessels within the ovary.  These vessels are located in the interstitium between ovarian follicles and  appear to envelop arterioles."	
<http://purl.obolibrary.org/obo/ZFA_0000442>	"Supraneurals independent, median, elongate, rod-like cartilages or bones in the dorsal skeletogenous septum between the cranium and the dorsal fin. In actinopterygians, supraneurals develop from cartilages that are independent of the neural spine (Arratia et al., 2001)."	"TAO:0000442"
<http://purl.obolibrary.org/obo/ZFA_0005331>	"A non-terminally differentiated cell that originates from the neural crest and differentiates into an erythrophore."	"TAO:0005331 CL:0005004"
<http://purl.obolibrary.org/obo/ZFA_0009023>	"An oligopotent progenitor cell committed to the lymphoid lineage."	"TAO:0009023 CL:0000051"
<http://purl.obolibrary.org/obo/ZFA_0000830>	"Ventromedial region of somite 14 that will form vertebral cartilages and connective tissues. The sclerotome lies ventral to the myotome. Cells of the sclerotome will migrate dorsally to surround the notochord and neural tube."	"TAO:0000830"
<http://purl.obolibrary.org/obo/ZFA_0005843>	"Lymph vessels that are on the right side of the intestine."	
<http://purl.obolibrary.org/obo/ZFA_0001688>	"Portion of tissue that is part of the eye and gives rise to the mature, fully layered cornea."	"TAO:0002188"
<http://purl.obolibrary.org/obo/ZFA_0009141>	"A mononuclear phagocyte present in variety of tissues, typically differentiated from monocytes, capable of phagocytosing a variety of extracellular particulate material, including immune complexes, microorganisms, and dead cells."	"CL:0000235 TAO:0009141"
<http://purl.obolibrary.org/obo/ZFA_0001444>	"Choroid plexus that is part of the third ventricle."	"TAO:0001444"
<http://purl.obolibrary.org/obo/ZFA_0009174>	"A cell of the sclera of the eye."	"TAO:0009174 CL:0000347"
<http://purl.obolibrary.org/obo/ZFA_0001422>	"Bilaterally paired large cartilage that articulates with the chondrocranium dorsally, the opercle posteriorly, and the palatoquadrate cartilage anteriorly."	"TAO:0001422"
<http://purl.obolibrary.org/obo/ZFA_0005302>	"Lymph vessel part of pectoral fin."	"TAO:0005302"
<http://purl.obolibrary.org/obo/ZFA_0009265>	"Myeloid mononuclear recirculating leukocyte that can act as a precursor of tissue macrophages, osteoclasts and some populations of tissue dendritic cells."	"TAO:0009265 CL:0000576"
<http://purl.obolibrary.org/obo/ZFA_0009008>		
<http://purl.obolibrary.org/obo/ZFA_0005415>	"Foramen in the inner ear."	"TAO:0005415"
<http://purl.obolibrary.org/obo/ZFA_0005014>	"The anteroventral proceeding branch of the afferent branchial artery."	"TAO:0005014"
<http://purl.obolibrary.org/obo/ZFA_0001466>	"Layer of the retina composed of the outer segments of the photoreceptor cells. The photoreceptor outer segment is a specialized primary cilium consisting of a microtubule-based axoneme and regular stacks of membrane folds or disks containing the photopigments (opsins) required for the phototransduction cascade."	"TAO:0001466"
<http://purl.obolibrary.org/obo/ZFA_0000349>	"Skeletal muscle that is the dorsal-most component of the body musculature. The anterior region attaches to the back of the cranial vault and the dorsal region of the pectoral girdle. The epaxialis is bound to the skin by fibrous connective tissue and internally it inserts over the dorsal portion of the vertebral centra and fin pterygiophores and the neural spines. Posteriorly the epaxialis overlies the modified muscle of the caudal fin and inserts onto the dorsal ray bases of the fin. The anterior epaxial plays a role in feeding and the posterior region is central to locomotion."	"TAO:0000349"
<http://purl.obolibrary.org/obo/ZFA_0005780>	"Epithelium of the thymus primordium composed of cells of immature morphology. The immature thymic epithelium is continuous with the pharyngeal epithelium.  The immature thymic epithelium is composed of electron-lucent epithelial cells of irregular or polygonal shape and contain numerous ribosomes, large electron-lucent mitochondria, and rough endoplasmic reticulum. Nascent desmosomes join these primitive epithelial cells together."	
<http://purl.obolibrary.org/obo/ZFA_0000972>	"A muscle cell that is small, darkly colored, with high lipid and mitochondrial content. Slow muscle cells are located superficial to the fast muscle cell in the myotome of somite 4."	"TAO:0000972"
<http://purl.obolibrary.org/obo/ZFA_0005748>	"Digestive duct within the pancreas.  The pancreatic duct carries inactive digestive enzymes to the intestine."	
<http://purl.obolibrary.org/obo/ZFA_0000835>	"Ventromedial region of somite 28 that will form vertebral cartilages and connective tissues. The sclerotome lies ventral to the myotome. Cells of the sclerotome will migrate dorsally to surround the notochord and neural tube."	"TAO:0000835"
<http://purl.obolibrary.org/obo/ZFA_0005353>	"Vertebra that is posteriorly adjacent to vertebra 9."	"TAO:0002150"
<http://purl.obolibrary.org/obo/ZFA_0000704>	"Deep, narrow muscle that arises anteriorly and laterally of the pelvic abductor profundus. It attaches to the first pelvic ray."	"TAO:0000704"
<http://purl.obolibrary.org/obo/ZFA_0000658>	"Pharyngeal arch bone that is bilaterally paired and articulates laterally with ceratobranchial cartilage or bone. Epibranchials are dorsal parts of the gill arches. Epibranchials 1-4 ossify in the epibranchial cartilages in a posterior to anterior progression. Gill rakers are present on the anterior and posterior edges of epibranchials 2 and 4 and the posterior edge of epibranchial 1. A reduced gill raker is present on the anterior margin of epibranchial 1 in some specimens."	"TAO:0000658"
<http://purl.obolibrary.org/obo/ZFA_0001167>	"Vertebra that is posteriorly adjacent to the neurocranium."	"TAO:0001167"
<http://purl.obolibrary.org/obo/ZFA_0009009>		"CL:0000029 TAO:0009009"
<http://purl.obolibrary.org/obo/ZFA_0000869>	"The epaxial region of somite 23 derived body wall muscle. The epaxial region is dorsal to the horizontal myoseptum."	"TAO:0000869"
<http://purl.obolibrary.org/obo/ZFA_0001129>		"TAO:0001129"
<http://purl.obolibrary.org/obo/ZFA_0005255>	"Multi-tissue structure part of the blood vasculature. Feeds into capillaries.   Arterioles carry blood away from the heart."	"TAO:0002138"
<http://purl.obolibrary.org/obo/ZFA_0000391>	"Telencephalic nucleus which is medially located and surrounds the central zone of dorsal telencephalon. From Neuroanatomy of the Zebrafish Brain."	"TAO:0000391"
<http://purl.obolibrary.org/obo/ZFA_0000068>	"Cluster of cells in the neural plate that have the potential to become neuroblast."	"TAO:0000068"
<http://purl.obolibrary.org/obo/ZFA_0005484>	"Joint that articulates quadrate and anguloarticular bones. Quadrate-articular joint is paired."	"TAO:0001802"
<http://purl.obolibrary.org/obo/ZFA_0000740>	"The epaxial region of somite 5 derived body wall muscle. The epaxial region is dorsal to the horizontal myoseptum."	"TAO:0000740"
<http://purl.obolibrary.org/obo/ZFA_0005722>	"Protoglomeruli in the central zone  of the glomerular layer of the olfactory bulb.  The central zone protoglomeruli have somewhat indistinct boundaries.  Located medially to protoglomerulus 1."	
<http://purl.obolibrary.org/obo/ZFA_0000254>	"Embryonic structure that develops into the pancreatic bud."	"TAO:0000254"
<http://purl.obolibrary.org/obo/ZFA_0000183>	"Multi-tissue structure that is the central part of the pretectum."	"TAO:0000183"
<http://purl.obolibrary.org/obo/ZFA_0000778>	"A CNS interneuron located in the spinal cord."	"CL:0005000 TAO:0000778"
<http://purl.obolibrary.org/obo/ZFA_0007052>	"Is a ventral,paired hyoid muscle that inserts at the most anterior basibranchial and also at the posterior ends of the ceratohyals and functions in jaw closure."	"TAO:0007052"
<http://purl.obolibrary.org/obo/ZFA_0001685>	"Portion of tissue that is located basal to Bowman's layer and distal to Descemet's membrane and is comprised largely of connective tissue."	"TAO:0002189"
<http://purl.obolibrary.org/obo/ZFA_0005590>	"Developing nephron where the developing glomerular capsule has been invaded by a glomerular capillary loop called the glomerular tuft."	
<http://purl.obolibrary.org/obo/ZFA_0000669>	"The zebrafish head kidney consists of fused bilateral lobes located in the anterior part of the kidney.  It is analogous to the mammalian bone marrow and the primary site of definitive hematopoiesis."	"TAO:0000669"
<http://purl.obolibrary.org/obo/ZFA_0001687>	"Epithelium that is the innermost layer of the cornea and is comprised of a monolayer of polygonal cells."	"TAO:0002186"
<http://purl.obolibrary.org/obo/ZFA_0005803>	"Gelatinous substance surrounding the kinocila of the neuromast."	
<http://purl.obolibrary.org/obo/ZFA_0001356>	"The terminal nerve, located anterior to cranial nerve I, is comprised of a group of cells with somata adjacent to the olfactory bulb and processes that extend anteriorly to the olfactory epithelium and posteriorly to the telencephalon. In teleost fish an additional group of axons extends along the optic tract and delivers putative neuromodulators to the retina.  It is thought to develop from cranial neural crest."	"TAO:0001356"
<http://purl.obolibrary.org/obo/ZFA_0009092>	"A cell of an exocrine gland, i.e. a gland that discharges its secretion via a duct."	"TAO:0009092 CL:0000152"
<http://purl.obolibrary.org/obo/ZFA_0005838>	"Facial lymphatic vessel that sprouts from the lateral facial lymph vessel.  The path lies  parallel to the posterior cerebral vein but is not in contact with a blood vessel."	
<http://purl.obolibrary.org/obo/ZFA_0005354>	"Vertebra that is posteriorly adjacent to vertebra 10."	"TAO:0002151"
<http://purl.obolibrary.org/obo/ZFA_0000964>	"A muscle cell that is small, darkly colored, with high lipid and mitochondrial content. Slow muscle cells are located superficial to the fast muscle cell in the myotome of somite 12."	"TAO:0000964"
<http://purl.obolibrary.org/obo/ZFA_0005954>	"Group of lymphatic cells in the heart that form independently of sprouting  lymphangiogenesis.  These cells appear as single cells that may expand into isolated lymph vessels as development progresses with no connection to the coronary capillary plexus or the lymphatic network."	
<http://purl.obolibrary.org/obo/ZFA_0001431>		"TAO:0001431"
<http://purl.obolibrary.org/obo/ZFA_0009261>	"A pigment cell derived from the neural crest. Contains uric acid or other purine crystals deposited in stacks called leucosomes. The crystals reflect light and this gives a white appearance under white light.  These cells express purine nucleoside phosphorylase 4a."	"TAO:0009261 CL:0000571"
<http://purl.obolibrary.org/obo/ZFA_0001671>	"Epithelium that is the primary epithelium of the developing inner ear and has anterior and posterior maculae as its parts. These maculae later move apart into distinct regions of epithelium."	"TAO:0002206"
<http://purl.obolibrary.org/obo/ZFA_0005037>	"Is an interconnected tubular multi-tissue structure that contains fluid that is actively transported around the post-vent region. This is frequently referred to as tail vasculature in the zebrafish community."	"TAO:0005037"
<http://purl.obolibrary.org/obo/ZFA_0000422>	"The retroarticular is a cartilage bone that forms at the posteroventral tip of Meckel's cartilage where the interoperculomandibular ligament attaches (5.1 mm NL). In the adult it is basically triangular in shape. The retroarticular is ligamentously connected to the interopercle and preopercle posteriorly and abuts the ventral shelf of the dentary anteriorly."	"TAO:0000422"
<http://purl.obolibrary.org/obo/ZFA_0005806>	"Efferent neurons located ventrally in the diencephalon.  The dendrites extend into a large area of the diencephalic neuropil rostral, caudal, lateral and ventral to the cell body.  The axon courses dorsally and then caudally through the midbrain.   As the axon descends through the brain it gives off branches at several levels.   One branch usually exits the brain with the posterior lateral line nerve.  The axon can be traced into the cervical spinal cord."	
<http://purl.obolibrary.org/obo/ZFA_0005100>	"Vessels that travel between artery and veins or vein and vein in a single ray."	"TAO:0005100"
<http://purl.obolibrary.org/obo/ZFA_0005497>	"Joint that articulates the epihyal and ceratohyal bones. Epihyal-ceratohyal joint is paired."	"TAO:0001842"
<http://purl.obolibrary.org/obo/ZFA_0007060>	"Neurogenic field fated to develop into a dorsolateral placode."	"TAO:0007060"
<http://purl.obolibrary.org/obo/ZFA_0005462>	"Pair of perilymphatic ducts that extend from the dorsal ends of the atria of the sinus impar, pass on either side of the medulla and merge and extend dorsally toward the surface of the head."	
<http://purl.obolibrary.org/obo/ZFA_0001305>		"TAO:0001305"
<http://purl.obolibrary.org/obo/ZFA_0005817>	"Anterior longitudinal muscles of the dorsal fin.  That originates from the caudal end of the dorsal fin base, stretches along the midline between the right and left epaxial muscles, and inserts at the dorsal base of the tail fin.  Contracting the dorsal retractor will lower the fin."	
<http://purl.obolibrary.org/obo/ZFA_0007033>	"Portion of anterior neural rod that gives rise to the forebrain midbrain boundary neural tube."	"TAO:0007033"
<http://purl.obolibrary.org/obo/ZFA_0000367>		
<http://purl.obolibrary.org/obo/ZFA_0001166>	"Supraneural located between vertebra 8 and 9."	"TAO:0001166"
<http://purl.obolibrary.org/obo/ZFA_0009389>	"Cell that is part of the kidney."	"CL:1000497"
<http://purl.obolibrary.org/obo/ZFA_0005888>	"Cartilage that grows from the auditory capsule medially toward the anterior end of the parachordal cartilage to enclose the hyomandibular (facial) foramen. The lateral basicapsular commissure are paired."	
<http://purl.obolibrary.org/obo/ZFA_0000664>	"Cranial nerve where motor axons innervate muscles derived from the second branchial arch. The motor neurons are generated in rhombomere 4."	"TAO:0000664"
<http://purl.obolibrary.org/obo/ZFA_0001304>		"TAO:0001304"
<http://purl.obolibrary.org/obo/ZFA_0000675>		
<http://purl.obolibrary.org/obo/ZFA_0000542>		"TAO:0000542"
<http://purl.obolibrary.org/obo/ZFA_0000982>	"Undifferentiated mesodermal component of early trunk segment 6 or metamere, derived from paraxial mesoderm; forms the myotome, sclerotome and perhaps dermatome."	"TAO:0000982"
<http://purl.obolibrary.org/obo/ZFA_0001209>	"Embryonic structure, part of the neural keel, that gives rise to rhombomere 7."	"TAO:0001209"
<http://purl.obolibrary.org/obo/ZFA_0009386>	"A cell of an organism that does not pass on its genetic material to the organism's offspring (i.e. a non-germ line cell)."	"CL:0002371"
<http://purl.obolibrary.org/obo/ZFA_0005051>	"Connect the palatocerebral artery with the prosencephalic artery."	"TAO:0005051"
<http://purl.obolibrary.org/obo/ZFA_0005690>	"Glomerulus located in the dorsolateral zone of the olfactory bulb.  Ventral to dlG4,  and located along the caudal edge of the olfactory bulb."	
<http://purl.obolibrary.org/obo/ZFA_0001237>	"Ceratobranchial bone that is bilaterally paired and articulates laterally with epibranchial 1 cartilage or bone and medially with the cartilage between the basibranchials. Gill rakers are present on the anterior and posterior margins."	"TAO:0001237"
<http://purl.obolibrary.org/obo/ZFA_0009316>		"TAO:0009316 CL:0000746"
<http://purl.obolibrary.org/obo/ZFA_0001303>		"TAO:0001303"
<http://purl.obolibrary.org/obo/ZFA_0005889>	"Syndesmosis that connects the posterior lateral edge of the epiotic to the posttemporal. The epiotic-posttemporal joint is paired."	
<http://purl.obolibrary.org/obo/ZFA_0005563>	"Multi-tissue structure that composes the opaque fibrous outer layer of the eye."	"TAO:0002289"
<http://purl.obolibrary.org/obo/ZFA_0009346>	"A natural killer cell that is developmentally immature, has the phenotype CD34-negative, CD117-positive, CD122-positive, and CD161-positive, and expresses additional natural killer cell receptors (NKR)."	"TAO:0009346 CL:0000823"
<http://purl.obolibrary.org/obo/ZFA_0001086>	"Cells that develop from adaxial cells  that express engrailed and do not migrate completely to the lateral surface of the myotome, and instead extend from the notochord to the lateral surface of the somite, at the level of the future horizontal myoseptum."	"TAO:0001086"
<http://purl.obolibrary.org/obo/ZFA_0000103>		
<http://purl.obolibrary.org/obo/ZFA_0009004>	"A cell of the trunk neural crest."	
<http://purl.obolibrary.org/obo/ZFA_0001001>	"The epaxial region of somite 13 derived body wall muscle. The epaxial region is dorsal to the horizontal myoseptum."	"TAO:0001001"
<http://purl.obolibrary.org/obo/ZFA_0000413>	"The part of the reproductive system that produces and releases eggs (ovary) or sperm (testis)."	"TAO:0000413"
<http://purl.obolibrary.org/obo/ZFA_0009343>	"An immature B cell is a precursor B cell that has the phenotype surface IgM-positive and surface IgD-negative, and have not undergone class immunoglobulin class switching or peripheral encounter with antigen and activation."	"TAO:0009343 CL:0000816"
<http://purl.obolibrary.org/obo/ZFA_0000323>	"Median unpaired cartilage bone that ossifies as a perichondral lamellae ensheathing the nasal septum anterodorsally and laterally (Harrington, 1955). In adult D. rerio, the center of the mesethmoid remains cartilaginous (Cubbage & Mabee, 1996). The mesethmoid meets the supraethmoid dorsally, the lateral ethmoids posterolaterally, and the vomer and parasphenoid ventrally in synostoses. Anterolaterally the mesethmoid meets the preethmoids in synchondroses."	"TAO:0000323"
<http://purl.obolibrary.org/obo/ZFA_0009033>	"A neurectoderm derived cell that lines the neural lumen."	"TAO:0009033 CL:0000065"
<http://purl.obolibrary.org/obo/ZFA_0005389>	"Anatomical space that is the external opening of a gill slit connecting the pharyngeal cavity to the exterior. Gill opening is usually paired and located on the lateral or ventral surfaces of the head."	"TAO:0002057"
<http://purl.obolibrary.org/obo/ZFA_0000540>		"TAO:0000540"
<http://purl.obolibrary.org/obo/ZFA_0001302>		"TAO:0001302"
<http://purl.obolibrary.org/obo/ZFA_0009156>	"A mature sexual reproductive cell having a single set of unpaired chromosomes."	"CL:0000300 TAO:0009156"
<http://purl.obolibrary.org/obo/ZFA_0007106>	"Vertebra that is posteriorly adjacent to vertebra 22."	
<http://purl.obolibrary.org/obo/ZFA_0009090>		"CL:0000147 TAO:0009090"
<http://purl.obolibrary.org/obo/ZFA_0005322>	"A cuboidal epithelial cell of the kidney which regulates sodium and potassium balance. The activity of sodium and potassium channels on the cells apical membrane is regulated by aldosterone and vasopressin. In mammals these cells are located in the renal collecting ducts."	"CL:0005009 TAO:0005322"
<http://purl.obolibrary.org/obo/ZFA_0000299>	"Peripheral nucleus of the ventral telencephalon that is a band of tightly packed cells starting at the level of the anterior commissure and extends into the telencephalo-diencephalic boundary region. From Neuroanatomy of the Zebrafish Brain."	"TAO:0000299"
<http://purl.obolibrary.org/obo/ZFA_0000874>	"The epaxial region of somite 7 derived body wall muscle. The epaxial region is dorsal to the horizontal myoseptum."	"TAO:0000874"
<http://purl.obolibrary.org/obo/ZFA_0001627>	"Anatomical cluster that consists of a bulla formed by the exoccipital and basioccipital bones, and surrounds the lagena."	"TAO:0001620"
<http://purl.obolibrary.org/obo/ZFA_0001723>	"Portion of tissue that is part of the heart tube and will become the atrioventricular canal."	"TAO:0002227"
<http://purl.obolibrary.org/obo/ZFA_0000059>		"TAO:0000059"
<http://purl.obolibrary.org/obo/ZFA_0001054>	"Connect the outflow of the aortic arches to the dorsal aorta. The place where the lateral dorsal aorta fuse is called the radix of the aorta."	"TAO:0001054"
<http://purl.obolibrary.org/obo/ZFA_0001037>	"Ventromedial region of somite 13 that will form vertebral cartilages and connective tissues. The sclerotome lies ventral to the myotome. Cells of the sclerotome will migrate dorsally to surround the notochord and neural tube."	"TAO:0001037"
<http://purl.obolibrary.org/obo/ZFA_0001027>	"Space within the oral region."	"TAO:0001027"
<http://purl.obolibrary.org/obo/ZFA_0000098>	"Anatomical cluster which consists of rapidly dividing cells."	"TAO:0000098"
<http://purl.obolibrary.org/obo/ZFA_0005091>	"Wide thin-walled blood vessels in the liver. The terminal branches of the hepatic portal vein and hepatic artery empty into the sinusoids where the blood mixes. In mammals they have neither venous or arterial markers.  Sinusoids are scattered throughout the parenchyma and appear small and round."	"TAO:0005091"
<http://purl.obolibrary.org/obo/ZFA_0000026>	"A transversely oriented set of cells located deep to the EVL on the pericardial membrane, especially prominent during pharyngula period because of the brightly refractile cytoplasmic granules (containing hatching enzymes) of the principal cells of the gland."	"TAO:0000026"
<http://purl.obolibrary.org/obo/ZFA_0001672>	"Portion of tissue that grows in from the dorsolateral wall of the otic vesicle, forming a dorsolateral partition between the developing anterior and posterior semicircular canals."	"TAO:0002193"
<http://purl.obolibrary.org/obo/ZFA_0000494>		"TAO:0000494"
<http://purl.obolibrary.org/obo/ZFA_0000723>	"A muscle cell that is small, darkly colored, with high lipid and mitochondrial content. Slow muscle cells are located superficial to the fast muscle cell in the myotome of somite 5."	"TAO:0000723"
<http://purl.obolibrary.org/obo/ZFA_0009142>	"A type of lymphocyte whose defining characteristic is the expression of an immunoglobulin complex."	"TAO:0009142 CL:0000236"
<http://purl.obolibrary.org/obo/ZFA_0001067>	"Vein that branches from the primordial hindbrain channel (PHBC) at 1.3 dpf. The primitive prosencephalic artery drains into the anterior cerebral vein (ACeV) as do the prosencephalic artery and the nasal vein."	"TAO:0001067"
<http://purl.obolibrary.org/obo/ZFA_0005805>	"Efferent neuron located in the hindbrain.  The axon of ROLE cells travels rostrally near the ipsilateral medial longitudinal fascicle to the level of the Mauthner cell where it turns laterally to exit with the eighth nerve.  Outside the brain the  axon continues ventrally  to the base of the saccular macula in the ear then turns caudally to ender the ganglion of the posterior lateral line.   A branch of the axon  turns ventrally before the main axon enters the LLG.  The branch goes ventrally along the wall of the otic capsule."	
<http://purl.obolibrary.org/obo/ZFA_0000592>	"Superficial, dorsal pelvic fin muscle that originates at the anterior side of the basipterygium and inserts onto all pelvic fin rays except ray 1."	"TAO:0000592"
<http://purl.obolibrary.org/obo/ZFA_0009292>	"A transient cell present only in the developing CNS. Functions as both a precursor cell and as a scaffold to support neuronal migration."	"TAO:0009292 CL:0000681"
<http://purl.obolibrary.org/obo/ZFA_0000451>	"Portion of tissue, located on the upper jaw that defines the caudal extent of the labial cavity.  The oral valves control the flow of water into the mouth during routine respiration."	"TAO:0000451"
<http://purl.obolibrary.org/obo/ZFA_0005964>	"Large pear-shaped dopaminergic neuron that ascend from the posterior tuberculum to the subpallium. These neurons may be the correlate of mammalian substantia nigra (SNc) neurons. DC4 neurons are located caudally and their processes projected dorsolaterally."	
<http://purl.obolibrary.org/obo/ZFA_0000493>		"TAO:0000493"
<http://purl.obolibrary.org/obo/ZFA_0001204>	"Region of the mesoderm that is located along the rostral-caudal axis of the embryo."	"TAO:0001204"
<http://purl.obolibrary.org/obo/ZFA_0005719>	"Protoglomeruli in the lateral  region of the glomerular layer of the olfactory bulb. Dorsomedial protoglomerulus located in the lateral region of the olfactory bulb."	
<http://purl.obolibrary.org/obo/ZFA_0001255>		
<http://purl.obolibrary.org/obo/ZFA_0001388>		"TAO:0001388"
<http://purl.obolibrary.org/obo/ZFA_0001374>	"Myocardium of the heart atrium."	"TAO:0001374"
<http://purl.obolibrary.org/obo/ZFA_0001430>	"A duct connecting the esophagus to the posterior chamber of the swim bladder."	"TAO:0001430"
<http://purl.obolibrary.org/obo/ZFA_0009134>		"TAO:0009134 CL:0000217"
<http://purl.obolibrary.org/obo/ZFA_0000492>		"TAO:0000492"
<http://purl.obolibrary.org/obo/ZFA_0009001>		"CL:0000006 TAO:0009001"
<http://purl.obolibrary.org/obo/ZFA_0005520>	"Caudal principal ray that is ventrally adjacent to caudal principal ray 8."	"TAO:0001721"
<http://purl.obolibrary.org/obo/ZFA_0005808>	"Transient cluster of cardiac progenitor cells that develops adjacent to the heart and migrates onto the heart to form the epicardium.  Proepicardial clusters in Zebrafish form on the pericardial wall, adjacent to the atrioventricular (AV) junction and near the venous pole."	
<http://purl.obolibrary.org/obo/ZFA_0000826>	"Midbrain nucleus which is part of the torus semicircularis and is the target of ascending octavolateralis systems related to audition. From Neuroanatomy of the Zebrafish Brain."	"TAO:0000826"
<http://purl.obolibrary.org/obo/ZFA_0001254>		
<http://purl.obolibrary.org/obo/ZFA_0007034>	"Anterior portion of anterior neural rod that gives rise to the forebrain neural tube."	"TAO:0007034"
<http://purl.obolibrary.org/obo/ZFA_0000122>	"Ectodermal primordium of the lens of the eye."	"TAO:0000122"
<http://purl.obolibrary.org/obo/ZFA_0001680>	"Diencephalic nucleus that is part of the preoptic area. From Neuroanatomy of the Zebrafish Brain."	"TAO:0002219"
<http://purl.obolibrary.org/obo/ZFA_0000588>	"The sensory ganglion of the ear. (See Anatomical Atlas entry for <a href='http://zfin.org/zf_info/anatomy/dict/stato/stato.html'>statoacoustic ganglion</a> by T. Whitfield.)"	"TAO:0000588"
<http://purl.obolibrary.org/obo/ZFA_0001097>	"Is an otic sensory epithelium that will develop into the mature posterior macula."	"TAO:0001097"
<http://purl.obolibrary.org/obo/ZFA_0001232>	"Anatomical cluster made up of skeletal and cartilaginous elements of the fifth pharyngeal arch, also called third gill or branchial arch."	"TAO:0001232"
<http://purl.obolibrary.org/obo/ZFA_0009199>	"A pigment cell derived from the neural crest. The cell contains flat light-reflecting platelets, probably of guanine, in stacks called reflecting platets or iridisomes. The color-generating components produce a silver, gold, or iridescent color."	"TAO:0009199 CL:0000431"
<http://purl.obolibrary.org/obo/ZFA_0001695>	"Motor nucleus of vagal nerve that is located within the dorsolateral portion of rhombomere 8."	"TAO:0002192"
<http://purl.obolibrary.org/obo/ZFA_0005278>	"Smooth muscle of the enteric muscle system in which the cells are aligned parallel to the lumen of the gut."	
<http://purl.obolibrary.org/obo/ZFA_0001120>		"TAO:0001120"
<http://purl.obolibrary.org/obo/ZFA_0000509>	"Brain structure which is part of the diencephalon and consists of the dorsal and ventral nuclei of the habenula, and two dorsal outgrowths, the epiphysis and the saccus dorsalis. From Neuroanatomy of the Zebrafish Brain."	"TAO:0000509"
<http://purl.obolibrary.org/obo/ZFA_0001253>		
