Level	Rule Name	Subject	Property	Value
WARN	missing_definition	Pharyngula:Prim-15	definition	
WARN	missing_definition	Pharyngula:Prim-25	definition	
WARN	missing_definition	Pharyngula:High-pec	definition	
WARN	missing_definition	Hatching:Long-pec	definition	
WARN	missing_definition	Hatching:Pec-fin	definition	
WARN	missing_definition	Larval:Protruding-mouth	definition	
WARN	missing_definition	Larval:Day 4	definition	
WARN	missing_definition	Larval:Day 5	definition	
WARN	missing_definition	Larval:Day 6	definition	
WARN	missing_definition	Larval:Days 7-13	definition	
WARN	missing_definition	Larval:Days 14-20	definition	
WARN	missing_definition	Larval:Days 21-29	definition	
WARN	missing_definition	Juvenile:Days 30-44	definition	
WARN	missing_definition	Juvenile:Days 45-89	definition	
WARN	missing_definition	Adult	definition	
WARN	missing_definition	Stages	definition	
WARN	missing_definition	PLURAL	definition	
WARN	missing_definition	subset_property	definition	
WARN	missing_definition	synonym_type_property	definition	
WARN	missing_definition	consider	definition	
WARN	missing_definition	has_alternative_id	definition	
WARN	missing_definition	has_broad_synonym	definition	
WARN	missing_definition	database_cross_reference	definition	
WARN	missing_definition	has_exact_synonym	definition	
WARN	missing_definition	has_narrow_synonym	definition	
WARN	missing_definition	has_obo_format_version	definition	
WARN	missing_definition	has_obo_namespace	definition	
WARN	missing_definition	has_related_synonym	definition	
WARN	missing_definition	has_synonym_type	definition	
WARN	missing_definition	in_subset	definition	
WARN	missing_definition	shorthand	definition	
WARN	missing_definition	treat-xrefs-as-genus-differentia	definition	
WARN	missing_obsolete_label	anatomical set	rdfs:label	anatomical set
WARN	missing_obsolete_label	sensory axons peripheral	rdfs:label	sensory axons peripheral
WARN	missing_obsolete_label	embryo	rdfs:label	embryo
WARN	missing_obsolete_label	lateral cells	rdfs:label	lateral cells
WARN	missing_obsolete_label	mesenchyme condensations	rdfs:label	mesenchyme condensations
WARN	missing_obsolete_label	antorbital	rdfs:label	antorbital
WARN	missing_obsolete_label	basisphenoid	rdfs:label	basisphenoid
WARN	missing_obsolete_label	epicentrals	rdfs:label	epicentrals
WARN	missing_obsolete_label	hypobranchial vessel	rdfs:label	hypobranchial vessel
WARN	missing_obsolete_label	larva	rdfs:label	larva
WARN	missing_obsolete_label	opercular-branchiostegal series	rdfs:label	opercular-branchiostegal series
WARN	missing_obsolete_label	supramaxillae	rdfs:label	supramaxillae
WARN	missing_obsolete_label	hypural arches	rdfs:label	hypural arches
WARN	missing_obsolete_label	dermopalatine	rdfs:label	dermopalatine
WARN	missing_obsolete_label	duodenum	rdfs:label	duodenum
WARN	missing_obsolete_label	infraorbital bridge	rdfs:label	infraorbital bridge
WARN	missing_obsolete_label	juvenile	rdfs:label	juvenile
WARN	missing_obsolete_label	last preural centrum	rdfs:label	last preural centrum
WARN	missing_obsolete_label	stomach	rdfs:label	stomach
WARN	missing_obsolete_label	Mauthner axon	rdfs:label	Mauthner axon
WARN	missing_obsolete_label	medial pterygiophores anal fin	rdfs:label	medial pterygiophores anal fin
WARN	missing_obsolete_label	supraorbital series	rdfs:label	supraorbital series
WARN	missing_obsolete_label	brachium conjunctivum	rdfs:label	brachium conjunctivum
WARN	missing_obsolete_label	dental plate	rdfs:label	dental plate
WARN	missing_obsolete_label	ural ossification	rdfs:label	ural ossification
WARN	missing_obsolete_label	presumptive neuron neural tube	rdfs:label	presumptive neuron neural tube
WARN	missing_obsolete_label	facial neural crest	rdfs:label	facial neural crest
WARN	missing_obsolete_label	medial pterygiophores dorsal fin	rdfs:label	medial pterygiophores dorsal fin
WARN	missing_obsolete_label	peripheral motor axons	rdfs:label	peripheral motor axons
WARN	missing_obsolete_label	adult	rdfs:label	adult
WARN	missing_obsolete_label	pars tuberalis	rdfs:label	pars tuberalis
WARN	missing_obsolete_label	pharyngobranchial 1	rdfs:label	pharyngobranchial 1
WARN	missing_obsolete_label	pharyngobranchial 2+3	rdfs:label	pharyngobranchial 2+3
WARN	missing_obsolete_label	cranial motoneurons	rdfs:label	cranial motoneurons
WARN	missing_obsolete_label	mentomeckelian	rdfs:label	mentomeckelian
WARN	missing_obsolete_label	visceral organ	rdfs:label	visceral organ
WARN	missing_obsolete_label	presumptive cardinal organ	rdfs:label	presumptive cardinal organ
WARN	missing_obsolete_label	presumptive organ	rdfs:label	presumptive organ
WARN	missing_obsolete_label	presumptive organ system	rdfs:label	presumptive organ system
WARN	missing_obsolete_label	axial bone	rdfs:label	axial bone
WARN	missing_obsolete_label	chondrocranium bone	rdfs:label	chondrocranium bone
WARN	missing_obsolete_label	cranial bone	rdfs:label	cranial bone
WARN	missing_obsolete_label	pharyngeal arch bone	rdfs:label	pharyngeal arch bone
WARN	missing_obsolete_label	dermatocranium bone	rdfs:label	dermatocranium bone
WARN	missing_obsolete_label	axial fin bone	rdfs:label	axial fin bone
WARN	missing_obsolete_label	paired fin bone	rdfs:label	paired fin bone
WARN	missing_obsolete_label	fin bone	rdfs:label	fin bone
WARN	missing_obsolete_label	pons	rdfs:label	pons
WARN	missing_obsolete_label	distal conduction system	rdfs:label	distal conduction system
WARN	missing_obsolete_label	lymph node	rdfs:label	lymph node
WARN	missing_obsolete_label	metanephric mesenchyme stem cell	rdfs:label	metanephric mesenchyme stem cell
WARN	missing_obsolete_label	non-visual cell (sensu Vertebrata)	rdfs:label	non-visual cell (sensu Vertebrata)
INFO	lowercase_definition	has developmental contribution from	definition	x has developmental contribution from y iff x has some part z such that z develops from y.
INFO	lowercase_definition	start stage	definition	c existence starts during s iff start_of(c) part_of s.
INFO	lowercase_definition	end stage	definition	c existence ends during s iff  end_of(c) part_of s.
INFO	missing_superclass	zebrafish anatomical entity	rdfs:subClassOf	
INFO	missing_superclass	Stages	rdfs:subClassOf	
